epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.63,1.9508,2.6884,1.04128,0.28167,0.1561,0.09799,0.05079,1.88934,1.71523,0.99422,0.000236754,0.000236754,0.000236754
2,64.4097,1.80113,1.64828,0.99162,0.24516,0.19359,0.13354,0.07046,1.82979,1.52973,0.98477,0.000427753,0.000427753,0.000427753
3,85.2197,1.74646,1.52255,0.97781,0.23966,0.20378,0.13756,0.07196,1.80884,1.50789,0.97743,0.000571629,0.000571629,0.000571629
4,105.698,1.7175,1.45076,0.96981,0.2827,0.21485,0.1562,0.08288,1.79987,1.4331,0.97412,0.000501942,0.000501942,0.000501942
5,126.124,1.68114,1.37932,0.95971,0.29346,0.22905,0.17699,0.09627,1.74496,1.38323,0.95974,0.000431256,0.000431256,0.000431256
6,146.472,1.65659,1.33044,0.95532,0.31702,0.23895,0.19259,0.10446,1.71635,1.35308,0.96045,0.00036057,0.00036057,0.00036057
7,166.836,1.63898,1.29739,0.9491,0.32344,0.24256,0.19261,0.1053,1.68509,1.31456,0.95152,0.000289884,0.000289884,0.000289884
8,187.157,1.61808,1.26825,0.94458,0.31808,0.2447,0.20241,0.11007,1.68965,1.31322,0.94532,0.000219198,0.000219198,0.000219198
9,207.467,1.60172,1.24131,0.93784,0.30907,0.25558,0.20678,0.11369,1.6766,1.28815,0.94321,0.000148512,0.000148512,0.000148512
10,228.1,1.58978,1.22426,0.93536,0.31977,0.26053,0.21358,0.11712,1.65661,1.26133,0.93998,7.7826e-05,7.7826e-05,7.7826e-05
