epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8872,2.30906,2.78627,1.01859,0.21711,0.12916,0.06132,0.02916,2.12996,1.71389,0.93854,0.000237412,0.000237412,0.000237412
2,53.8575,2.14203,1.72674,0.95025,0.26946,0.13112,0.08014,0.04076,2.05664,1.58715,0.92742,0.000318526,0.000318526,0.000318526
3,78.0009,2.06281,1.60041,0.92945,0.17479,0.15597,0.09796,0.04979,1.95669,1.4764,0.90876,0.00024256,0.00024256,0.00024256
