epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9701,1.63713,1.62512,0.96749,0.31,0.25904,0.20323,0.11384,1.50432,1.19785,0.92209,0.000237302,0.000237302,0.000237302
2,72.2835,1.57241,1.21869,0.93457,0.37232,0.28796,0.24078,0.1297,1.5176,1.15855,0.92847,0.000451775,0.000451775,0.000451775
3,106.163,1.57505,1.19283,0.92967,0.37318,0.29066,0.25212,0.13971,1.48902,1.12803,0.91652,0.000642685,0.000642685,0.000642685
4,139.98,1.55375,1.15872,0.92611,0.39328,0.30437,0.2638,0.14742,1.48457,1.11261,0.91613,0.000607971,0.000607971,0.000607971
5,173.393,1.52161,1.12831,0.91997,0.40706,0.30346,0.27215,0.15312,1.45578,1.10161,0.90876,0.000572628,0.000572628,0.000572628
6,206.993,1.51706,1.10376,0.91372,0.4206,0.31844,0.28469,0.16015,1.42608,1.05627,0.90268,0.000537285,0.000537285,0.000537285
7,240.054,1.4965,1.07294,0.90899,0.4115,0.32812,0.29471,0.16676,1.41529,1.05429,0.90112,0.000501942,0.000501942,0.000501942
8,273.523,1.47583,1.05393,0.90389,0.42276,0.33199,0.30173,0.17011,1.41388,1.02473,0.89942,0.000466599,0.000466599,0.000466599
9,306.953,1.46688,1.03474,0.90043,0.43543,0.3404,0.31489,0.17929,1.39452,1.01514,0.89504,0.000431256,0.000431256,0.000431256
10,339.938,1.45425,1.01802,0.89891,0.45032,0.34413,0.31805,0.18051,1.39173,1.00837,0.89229,0.000395913,0.000395913,0.000395913
11,390.783,1.4069,0.99692,0.90275,0.45823,0.33492,0.31593,0.17897,1.3957,1.00537,0.89437,0.00036057,0.00036057,0.00036057
12,422.253,1.39934,0.97747,0.89864,0.47714,0.33993,0.32678,0.18699,1.37398,0.98499,0.88892,0.000325227,0.000325227,0.000325227
13,454.048,1.38824,0.95945,0.89467,0.46821,0.34248,0.32766,0.18566,1.37348,0.97839,0.88937,0.000289884,0.000289884,0.000289884
14,485.721,1.36882,0.93697,0.89098,0.46725,0.34515,0.33255,0.19115,1.35204,0.96596,0.88656,0.000254541,0.000254541,0.000254541
15,517.262,1.35743,0.921,0.8894,0.47386,0.35349,0.33753,0.19441,1.35444,0.96309,0.8852,0.000219198,0.000219198,0.000219198
16,548.722,1.3424,0.90564,0.88623,0.47117,0.35581,0.34121,0.19595,1.34607,0.94792,0.88336,0.000183855,0.000183855,0.000183855
17,580.79,1.33157,0.89225,0.88296,0.47588,0.35927,0.34536,0.19758,1.34648,0.94939,0.88171,0.000148512,0.000148512,0.000148512
18,612.618,1.32535,0.87758,0.88158,0.48522,0.36351,0.35032,0.20081,1.33317,0.93724,0.88104,0.000113169,0.000113169,0.000113169
19,644.279,1.30698,0.86047,0.87827,0.49671,0.36299,0.35352,0.20406,1.3304,0.93036,0.88022,7.7826e-05,7.7826e-05,7.7826e-05
20,675.668,1.30269,0.85033,0.87584,0.48682,0.36946,0.35646,0.20516,1.32644,0.92648,0.87758,4.2483e-05,4.2483e-05,4.2483e-05
