epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5827,1.96358,2.80163,1.03283,0.32627,0.17959,0.09423,0.04856,1.7575,1.68217,0.97464,0.000236861,0.000236861,0.000236861
2,55.1842,1.81149,1.60811,0.97561,0.30855,0.20423,0.13707,0.07307,1.71829,1.4659,0.95758,0.000465459,0.000465459,0.000465459
3,80.4746,1.77998,1.48741,0.96563,0.25427,0.22228,0.16469,0.08818,1.67301,1.36181,0.95286,0.000684632,0.000684632,0.000684632
4,105.061,1.73909,1.41199,0.95855,0.27338,0.24316,0.18283,0.09966,1.65318,1.32714,0.94217,0.000671588,0.000671588,0.000671588
5,130.464,1.70759,1.35075,0.95163,0.30467,0.24272,0.19344,0.10566,1.64294,1.27738,0.94636,0.000657451,0.000657451,0.000657451
6,155.623,1.69027,1.31005,0.94552,0.33917,0.25756,0.21587,0.11775,1.58722,1.21475,0.93178,0.000643314,0.000643314,0.000643314
7,180.081,1.6727,1.28143,0.94259,0.33172,0.25853,0.21442,0.12019,1.56682,1.21114,0.92786,0.000629177,0.000629177,0.000629177
8,204.78,1.66036,1.26072,0.93827,0.32469,0.26562,0.21674,0.11956,1.5866,1.205,0.93102,0.00061504,0.00061504,0.00061504
9,229.735,1.65539,1.25232,0.93602,0.34335,0.2586,0.22174,0.1231,1.57584,1.19822,0.92598,0.000600902,0.000600902,0.000600902
10,254.086,1.63196,1.22236,0.93429,0.3328,0.27564,0.23208,0.12773,1.56939,1.18698,0.92134,0.000586765,0.000586765,0.000586765
11,278.41,1.63542,1.21318,0.93137,0.34135,0.28592,0.2395,0.13114,1.54919,1.17523,0.91898,0.000572628,0.000572628,0.000572628
12,302.317,1.61798,1.19892,0.93037,0.36047,0.27512,0.23486,0.12681,1.57477,1.17838,0.92046,0.000558491,0.000558491,0.000558491
13,326.127,1.61515,1.19137,0.92667,0.37079,0.26739,0.21807,0.11841,1.59997,1.21852,0.93288,0.000544354,0.000544354,0.000544354
14,349.796,1.59891,1.16918,0.92565,0.38018,0.27933,0.24102,0.13364,1.54213,1.14208,0.91573,0.000530216,0.000530216,0.000530216
15,374.125,1.60589,1.1654,0.92218,0.35467,0.28775,0.24847,0.13527,1.54143,1.14622,0.91624,0.000516079,0.000516079,0.000516079
16,398.387,1.59106,1.15508,0.92021,0.37375,0.29103,0.24841,0.13884,1.51916,1.14083,0.91174,0.000501942,0.000501942,0.000501942
17,422.075,1.58417,1.14975,0.91862,0.38047,0.28653,0.25537,0.14132,1.52222,1.11675,0.9188,0.000487805,0.000487805,0.000487805
18,447.135,1.5941,1.15009,0.92073,0.37522,0.29055,0.25767,0.14447,1.51114,1.11066,0.91304,0.000473668,0.000473668,0.000473668
19,471.876,1.57197,1.12776,0.91574,0.37597,0.29269,0.25315,0.14158,1.51782,1.125,0.91197,0.00045953,0.00045953,0.00045953
20,496.357,1.56651,1.12534,0.91707,0.38229,0.30083,0.26444,0.14619,1.51089,1.1125,0.91025,0.000445393,0.000445393,0.000445393
21,521.129,1.56037,1.11566,0.91356,0.37386,0.30174,0.26067,0.14483,1.49163,1.10322,0.90768,0.000431256,0.000431256,0.000431256
22,546.302,1.55695,1.11253,0.9134,0.37221,0.29517,0.25686,0.14258,1.50218,1.09987,0.90599,0.000417119,0.000417119,0.000417119
23,570.88,1.54681,1.10461,0.91231,0.39191,0.30388,0.26965,0.14984,1.49446,1.09242,0.90642,0.000402982,0.000402982,0.000402982
24,595.246,1.54965,1.102,0.91226,0.39369,0.29936,0.26901,0.15004,1.49423,1.09613,0.90878,0.000388844,0.000388844,0.000388844
25,620.25,1.53391,1.08924,0.91031,0.39958,0.3028,0.26648,0.14707,1.5008,1.08757,0.91173,0.000374707,0.000374707,0.000374707
26,645.044,1.53968,1.08944,0.90875,0.38439,0.30772,0.26937,0.15078,1.48457,1.09195,0.90263,0.00036057,0.00036057,0.00036057
27,669.376,1.53647,1.08527,0.90672,0.39593,0.30596,0.27413,0.15289,1.48329,1.08111,0.90568,0.000346433,0.000346433,0.000346433
28,693.477,1.53358,1.08013,0.90593,0.40109,0.30737,0.27517,0.15347,1.47923,1.07501,0.9034,0.000332296,0.000332296,0.000332296
29,717.312,1.5302,1.07736,0.90606,0.39325,0.31668,0.27536,0.15348,1.46782,1.06429,0.9016,0.000318158,0.000318158,0.000318158
30,741.33,1.52475,1.06877,0.90365,0.40827,0.31361,0.28119,0.15593,1.47456,1.065,0.90377,0.000304021,0.000304021,0.000304021
31,765.292,1.51952,1.06639,0.90463,0.40012,0.31032,0.27699,0.15494,1.46217,1.05995,0.89945,0.000289884,0.000289884,0.000289884
32,790.088,1.52631,1.06467,0.90211,0.41202,0.30702,0.27966,0.15646,1.46662,1.06427,0.90077,0.000275747,0.000275747,0.000275747
33,814.927,1.52109,1.05839,0.90377,0.41426,0.3129,0.28071,0.15622,1.46623,1.05673,0.90031,0.00026161,0.00026161,0.00026161
34,839.4,1.51267,1.05171,0.90039,0.40734,0.3155,0.28401,0.15881,1.46135,1.054,0.90207,0.000247472,0.000247472,0.000247472
35,864.485,1.5085,1.04765,0.90065,0.39906,0.31496,0.28199,0.15814,1.46243,1.05712,0.89968,0.000233335,0.000233335,0.000233335
36,888.712,1.50059,1.03938,0.90143,0.40105,0.3272,0.28797,0.1611,1.45328,1.04842,0.89912,0.000219198,0.000219198,0.000219198
37,912.831,1.49303,1.03017,0.89919,0.4044,0.31574,0.28616,0.16032,1.45403,1.04253,0.89975,0.000205061,0.000205061,0.000205061
38,936.937,1.49111,1.02705,0.89834,0.3997,0.32477,0.28896,0.16127,1.45341,1.04434,0.89744,0.000190924,0.000190924,0.000190924
39,961.192,1.49293,1.02748,0.89662,0.41416,0.31851,0.28881,0.16201,1.45273,1.04782,0.89679,0.000176786,0.000176786,0.000176786
40,985.547,1.48617,1.02284,0.89886,0.41528,0.32472,0.29102,0.16297,1.4485,1.04188,0.89816,0.000162649,0.000162649,0.000162649
41,1027.81,1.43333,0.99862,0.90031,0.41455,0.32043,0.2876,0.16105,1.45847,1.05229,0.89863,0.000148512,0.000148512,0.000148512
42,1051.03,1.42674,0.97997,0.89717,0.41447,0.3201,0.28876,0.16087,1.4577,1.04702,0.89902,0.000134375,0.000134375,0.000134375
43,1073.08,1.41627,0.97167,0.89656,0.41434,0.3163,0.28734,0.1608,1.45674,1.04117,0.89869,0.000120238,0.000120238,0.000120238
44,1095.3,1.41153,0.96471,0.89481,0.41231,0.32253,0.28975,0.16255,1.44893,1.04012,0.89851,0.0001061,0.0001061,0.0001061
45,1117.63,1.40523,0.95786,0.89476,0.41612,0.32241,0.29029,0.16297,1.44726,1.03778,0.89681,9.19632e-05,9.19632e-05,9.19632e-05
46,1139.97,1.40231,0.95219,0.89386,0.42202,0.32309,0.29278,0.1639,1.44749,1.03465,0.89679,7.7826e-05,7.7826e-05,7.7826e-05
47,1162,1.40273,0.95173,0.89203,0.41297,0.32254,0.29182,0.16344,1.44747,1.03335,0.89685,6.36888e-05,6.36888e-05,6.36888e-05
48,1183.9,1.39802,0.94744,0.89157,0.41897,0.32529,0.29354,0.16465,1.44319,1.03112,0.89565,4.95516e-05,4.95516e-05,4.95516e-05
49,1206.37,1.39348,0.9421,0.88934,0.41455,0.32593,0.29237,0.16347,1.44289,1.03208,0.89632,3.54144e-05,3.54144e-05,3.54144e-05
50,1227.97,1.3904,0.93851,0.89119,0.40686,0.32743,0.29264,0.16435,1.44241,1.02912,0.89607,2.12772e-05,2.12772e-05,2.12772e-05
