epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6833,2.30906,2.78627,1.01859,0.21711,0.12916,0.06132,0.02916,2.12996,1.71389,0.93854,0.000237412,0.000237412,0.000237412
2,52.9753,2.14999,1.72757,0.95184,0.27435,0.13542,0.08341,0.04202,2.03955,1.56776,0.92036,0.000381281,0.000381281,0.000381281
3,77.3577,2.07833,1.60295,0.93223,0.21224,0.15443,0.10325,0.05236,1.96429,1.4713,0.91141,0.000430901,0.000430901,0.000430901
4,102.047,2.02429,1.53501,0.92126,0.20734,0.16798,0.11546,0.05969,1.94598,1.42576,0.90456,0.000289884,0.000289884,0.000289884
5,125.963,1.97949,1.47275,0.9134,0.22078,0.16988,0.12027,0.06178,1.92015,1.39181,0.89533,0.000148512,0.000148512,0.000148512
