epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0386,1.90075,2.70135,1.02652,0.23161,0.1729,0.09292,0.04634,1.79679,1.6158,0.96943,0.000236861,0.000236861,0.000236861
2,67.4709,1.75665,1.62686,0.98325,0.21419,0.19879,0.13504,0.06982,1.71446,1.42713,0.95846,0.00042785,0.00042785,0.00042785
3,90.2907,1.69864,1.48641,0.96959,0.24812,0.21869,0.15038,0.08108,1.6868,1.37793,0.9542,0.000571715,0.000571715,0.000571715
4,112.805,1.67752,1.40871,0.96525,0.26624,0.23369,0.16273,0.09032,1.66473,1.33779,0.94229,0.000501942,0.000501942,0.000501942
5,135.596,1.64722,1.33786,0.9543,0.3112,0.23587,0.18897,0.10395,1.63894,1.27602,0.93422,0.000431256,0.000431256,0.000431256
6,157.723,1.61157,1.28384,0.94984,0.34518,0.24871,0.20804,0.11295,1.60023,1.23285,0.92934,0.00036057,0.00036057,0.00036057
7,180.332,1.59345,1.24756,0.94239,0.34511,0.25874,0.21639,0.11928,1.58375,1.21523,0.93032,0.000289884,0.000289884,0.000289884
8,203.408,1.5678,1.21247,0.93435,0.32674,0.2568,0.21779,0.12017,1.57881,1.19703,0.92319,0.000219198,0.000219198,0.000219198
9,225.897,1.55443,1.18617,0.92936,0.36069,0.26689,0.23335,0.12906,1.55171,1.16366,0.91909,0.000148512,0.000148512,0.000148512
10,248.425,1.53523,1.15849,0.92566,0.35533,0.27618,0.23711,0.13236,1.52567,1.14813,0.91498,7.7826e-05,7.7826e-05,7.7826e-05
